group,country,value,index
1993-1997,Lithuania,32.95137412516698,1993-1997-Lithuania
1993-1997,Latvia,0.5604447322441091,1993-1997-Latvia
1993-1997,Poland,-0.680455148608705,1993-1997-Poland
1993-1997,Hungary,0.29255402020035715,1993-1997-Hungary
1993-1997,Brazil,2.3424871695285536,1993-1997-Brazil
1993-1997,Romania,3.0306846865958095,1993-1997-Romania
1993-1997,Colombia,0.37630996949588025,1993-1997-Colombia
1993-1997,South Africa,2.7609476526624133,1993-1997-South Africa
1993-1997,Thailand,1.0507076048631618,1993-1997-Thailand
1993-1997,India,-0.05007565791324897,1993-1997-India
1993-1997,Taiwan,-0.8453087026998685,1993-1997-Taiwan
1998-2002,Monaco,,1998-2002-Monaco
1998-2002,Liechtenstein,NA,1998-2002-Liechtenstein
1998-2002,Luxembourg,-0.6648703670375522,1998-2002-Luxembourg
1998-2002,Norway,-1.0,1998-2002-Norway
1998-2002,Switzerland,NA,1998-2002-Switzerland
1998-2002,Qatar,-0.9961799698330694,1998-2002-Qatar
1998-2002,Australia,0.11528976549187142,1998-2002-Australia
1998-2002,Denmark,,1998-2002-Denmark
1998-2002,Sweden,,1998-2002-Sweden
1998-2002,United States,NA,1998-2002-United States
1998-2002,Canada,5.999451393992708,1998-2002-Canada
1998-2002,Netherlands,,1998-2002-Netherlands
1998-2002,Ireland,NA,1998-2002-Ireland
1998-2002,Austria,2.1752532788085146,1998-2002-Austria
1998-2002,Finland,,1998-2002-Finland
1998-2002,Iceland,,1998-2002-Iceland
1998-2002,Kuwait,-0.9689420731418485,1998-2002-Kuwait
1998-2002,Belgium,,1998-2002-Belgium
1998-2002,Germany,,1998-2002-Germany
1998-2002,New Zealand,,1998-2002-New Zealand
1998-2002,United Kingdom,,1998-2002-United Kingdom
1998-2002,France,,1998-2002-France
1998-2002,United Arab Emirates,-0.5720332992249271,1998-2002-United Arab Emirates
1998-2002,Japan,NA,1998-2002-Japan
1998-2002,Italy,-0.9998848373230043,1998-2002-Italy
1998-2002,Spain,,1998-2002-Spain
1998-2002,Cyprus,-0.36172577021908714,1998-2002-Cyprus
1998-2002,Korea,2.139218741331021,1998-2002-Korea
1998-2002,Saudi Arabia,194.31658545366372,1998-2002-Saudi Arabia
1998-2002,Slovenia,-0.3731878485465018,1998-2002-Slovenia
1998-2002,Greece,,1998-2002-Greece
1998-2002,Portugal,,1998-2002-Portugal
1998-2002,Czech Republic,-0.5127755638418142,1998-2002-Czech Republic
1998-2002,Estonia,-0.36206184929437524,1998-2002-Estonia
1998-2002,Slovak Republic,-0.4375465308403257,1998-2002-Slovak Republic
1998-2002,Chile,0.24672067367266726,1998-2002-Chile
1998-2002,Lithuania,-0.5060204741762122,1998-2002-Lithuania
1998-2002,Latvia,-0.3009882992399959,1998-2002-Latvia
1998-2002,Poland,-0.48429393585595515,1998-2002-Poland
