group,country,value,index
1998-2002,Sweden,-0.4291192844486381,1998-2002-Sweden
1998-2002,United States,0.04358033070898992,1998-2002-United States
1998-2002,Canada,1.4944978123319634,1998-2002-Canada
1998-2002,Netherlands,-0.08263558109260027,1998-2002-Netherlands
1998-2002,Ireland,NA,1998-2002-Ireland
1998-2002,Austria,2.491367270050046,1998-2002-Austria
1998-2002,Finland,-0.08938887361519365,1998-2002-Finland
1998-2002,Iceland,,1998-2002-Iceland
1998-2002,Kuwait,-0.950322221871875,1998-2002-Kuwait
1998-2002,Belgium,-0.1263266048323637,1998-2002-Belgium
1998-2002,Germany,-0.4735447529440511,1998-2002-Germany
1998-2002,New Zealand,1.556566135880967,1998-2002-New Zealand
1998-2002,United Kingdom,0.3099010923367076,1998-2002-United Kingdom
1998-2002,France,0.7986783595828286,1998-2002-France
1998-2002,United Arab Emirates,,1998-2002-United Arab Emirates
1998-2002,Japan,-0.20761927199731223,1998-2002-Japan
1998-2002,Italy,-0.8887928882547655,1998-2002-Italy
1998-2002,Spain,0.996861114448099,1998-2002-Spain
1998-2002,Cyprus,,1998-2002-Cyprus
1998-2002,Korea,,1998-2002-Korea
1998-2002,Saudi Arabia,,1998-2002-Saudi Arabia
1998-2002,Slovenia,,1998-2002-Slovenia
1998-2002,Greece,NA,1998-2002-Greece
1998-2002,Portugal,23.87579461379106,1998-2002-Portugal
1998-2002,Czech Republic,-0.882973294314902,1998-2002-Czech Republic
1998-2002,Estonia,NA,1998-2002-Estonia
1998-2002,Slovak Republic,,1998-2002-Slovak Republic
1998-2002,Chile,NA,1998-2002-Chile
1998-2002,Lithuania,,1998-2002-Lithuania
1998-2002,Latvia,,1998-2002-Latvia
1998-2002,Poland,,1998-2002-Poland
1998-2002,Hungary,,1998-2002-Hungary
1998-2002,Brazil,,1998-2002-Brazil
1998-2002,Romania,,1998-2002-Romania
1998-2002,Colombia,,1998-2002-Colombia
1998-2002,South Africa,,1998-2002-South Africa
1998-2002,Thailand,,1998-2002-Thailand
1998-2002,India,,1998-2002-India
1998-2002,Taiwan,-0.33894608682281546,1998-2002-Taiwan
2003-2007,Monaco,NA,2003-2007-Monaco
2003-2007,Liechtenstein,0.769073058074565,2003-2007-Liechtenstein
2003-2007,Luxembourg,1.8391092634817818,2003-2007-Luxembourg
2003-2007,Norway,0.07942250964654729,2003-2007-Norway
2003-2007,Switzerland,-0.44133193309184227,2003-2007-Switzerland
2003-2007,Qatar,NA,2003-2007-Qatar
2003-2007,Australia,-0.5551916226392571,2003-2007-Australia
2003-2007,Denmark,-0.19425272469373078,2003-2007-Denmark
2003-2007,Sweden,-0.22043157819520032,2003-2007-Sweden
2003-2007,United States,-0.7219146069998416,2003-2007-United States
2003-2007,Canada,-0.7080597860173258,2003-2007-Canada
2003-2007,Netherlands,-0.34654962045873106,2003-2007-Netherlands
2003-2007,Ireland,2.097557419727774,2003-2007-Ireland
2003-2007,Austria,-0.3431380955290976,2003-2007-Austria
2003-2007,Finland,0.33046542326389194,2003-2007-Finland
2003-2007,Iceland,,2003-2007-Iceland
2003-2007,Kuwait,-1.0,2003-2007-Kuwait
2003-2007,Belgium,0.37120246656563327,2003-2007-Belgium
2003-2007,Germany,0.3954624803471163,2003-2007-Germany
2003-2007,New Zealand,5.178371435755139,2003-2007-New Zealand
2003-2007,United Kingdom,0.2065540397991137,2003-2007-United Kingdom
2003-2007,France,0.07054035116405366,2003-2007-France
2003-2007,United Arab Emirates,,2003-2007-United Arab Emirates
2003-2007,Japan,-0.25882683817900354,2003-2007-Japan
2003-2007,Italy,0.20947893529216577,2003-2007-Italy
2003-2007,Spain,0.45928136559987154,2003-2007-Spain
2003-2007,Cyprus,NA,2003-2007-Cyprus
2003-2007,Korea,NA,2003-2007-Korea
2003-2007,Saudi Arabia,,2003-2007-Saudi Arabia
2003-2007,Slovenia,,2003-2007-Slovenia
2003-2007,Greece,5.444745103808853,2003-2007-Greece
2003-2007,Portugal,-0.15446656493206679,2003-2007-Portugal
2003-2007,Czech Republic,0.8698423177143921,2003-2007-Czech Republic
2003-2007,Estonia,-1.0,2003-2007-Estonia
2003-2007,Slovak Republic,NA,2003-2007-Slovak Republic
2003-2007,Chile,1.594695716358268,2003-2007-Chile
2003-2007,Lithuania,,2003-2007-Lithuania
2003-2007,Latvia,,2003-2007-Latvia
2003-2007,Poland,,2003-2007-Poland
2003-2007,Hungary,NA,2003-2007-Hungary
2003-2007,Brazil,NA,2003-2007-Brazil
2003-2007,Romania,,2003-2007-Romania
2003-2007,Colombia,NA,2003-2007-Colombia
2003-2007,South Africa,,2003-2007-South Africa
2003-2007,Thailand,NA,2003-2007-Thailand
2003-2007,India,,2003-2007-India
2003-2007,Taiwan,-0.7778842800607934,2003-2007-Taiwan
2008-2012,Monaco,0.4538674882831031,2008-2012-Monaco
2008-2012,Liechtenstein,-0.9123400514068372,2008-2012-Liechtenstein
2008-2012,Luxembourg,0.1268127085188726,2008-2012-Luxembourg
2008-2012,Norway,0.9015173941568653,2008-2012-Norway
2008-2012,Switzerland,-0.22466751327704038,2008-2012-Switzerland
2008-2012,Qatar,-1.0,2008-2012-Qatar
2008-2012,Australia,-0.08390456959636261,2008-2012-Australia
2008-2012,Denmark,-0.6103318587331722,2008-2012-Denmark
2008-2012,Sweden,-0.11330876029895165,2008-2012-Sweden
2008-2012,United States,0.02806213900361154,2008-2012-United States
2008-2012,Canada,-0.36907304538419006,2008-2012-Canada
2008-2012,Netherlands,-0.6517838632261446,2008-2012-Netherlands
2008-2012,Ireland,-0.2485825357081659,2008-2012-Ireland
2008-2012,Austria,-0.7290855906092335,2008-2012-Austria
2008-2012,Finland,0.19850593812619133,2008-2012-Finland
2008-2012,Iceland,NA,2008-2012-Iceland
2008-2012,Kuwait,,2008-2012-Kuwait
2008-2012,Belgium,-0.1211577809494715,2008-2012-Belgium
2008-2012,Germany,0.5703239254095827,2008-2012-Germany
2008-2012,New Zealand,-0.24804877509191514,2008-2012-New Zealand
2008-2012,United Kingdom,-0.3513242577722462,2008-2012-United Kingdom
2008-2012,France,0.5206955373796691,2008-2012-France
2008-2012,United Arab Emirates,NA,2008-2012-United Arab Emirates
2008-2012,Japan,0.31098135995696663,2008-2012-Japan
2008-2012,Italy,-0.03218292981563575,2008-2012-Italy
2008-2012,Spain,0.3488245671003858,2008-2012-Spain
2008-2012,Cyprus,-1.0,2008-2012-Cyprus
2008-2012,Korea,-0.5858955079628703,2008-2012-Korea
2008-2012,Saudi Arabia,,2008-2012-Saudi Arabia
2008-2012,Slovenia,NA,2008-2012-Slovenia
2008-2012,Greece,-0.5055405837988576,2008-2012-Greece
2008-2012,Portugal,1.150668182040429,2008-2012-Portugal
2008-2012,Czech Republic,-0.2556891484882726,2008-2012-Czech Republic
2008-2012,Estonia,,2008-2012-Estonia
2008-2012,Slovak Republic,-0.9131106770154527,2008-2012-Slovak Republic
2008-2012,Chile,-0.5400926661631174,2008-2012-Chile
2008-2012,Lithuania,,2008-2012-Lithuania
2008-2012,Latvia,,2008-2012-Latvia
2008-2012,Poland,,2008-2012-Poland
2008-2012,Hungary,-0.736620836771873,2008-2012-Hungary
2008-2012,Brazil,20.292440409518758,2008-2012-Brazil
2008-2012,Romania,,2008-2012-Romania
2008-2012,Colombia,0.46295148839490863,2008-2012-Colombia
2008-2012,South Africa,,2008-2012-South Africa
2008-2012,Thailand,3.6972477064220186,2008-2012-Thailand
2008-2012,India,,2008-2012-India
2008-2012,Taiwan,-0.8140583696906284,2008-2012-Taiwan
