country,category,group,value,gdp
Cyprus,perc,1978-1982,0.0,3375.3422395530024
Cyprus,perc,1983-1987,0.0,5034.257708188916
Cyprus,perc,1988-1992,0.0,9266.458159929485
Cyprus,perc,1993-1997,0.0,13355.74770516532
Cyprus,perc,1998-2002,0.0,15136.751608103059
Cyprus,perc,2003-2007,0.2,25395.6761452524
Cyprus,perc,2008-2013,0.0,31246.046111389514
Czech Republic,perc,1973-1977,0.0,
Czech Republic,perc,1978-1982,0.0,
Czech Republic,perc,1983-1987,0.0,
Czech Republic,perc,1988-1992,0.0,3382.637761537413
Czech Republic,perc,1993-1997,0.026000773367408192,5362.5089337744585
Czech Republic,perc,1998-2002,0.0021281830981156867,6684.063973499435
Czech Republic,perc,2003-2007,0.3449320915897536,13672.493236990142
Czech Republic,perc,2008-2013,0.8333333333333334,20601.97841904393
Denmark,perc,1973-1977,0.8,7892.127978889568
Denmark,perc,1978-1982,0.8961652961656446,12669.62646822042
Denmark,perc,1983-1987,0.9357565544745352,14843.141608216678
Denmark,perc,1988-1992,1.0,25580.117335596442
Denmark,perc,1993-1997,1.0,32286.314103496716
Denmark,perc,1998-2002,1.0,32306.57160272948
Denmark,perc,2003-2007,1.0,49256.84674113986
Denmark,perc,2008-2013,1.0,60329.854061811646
Estonia,perc,1973-1977,0.0,
Estonia,perc,1978-1982,0.0,
Estonia,perc,1983-1987,0.0,
Estonia,perc,1988-1992,0.0,
Estonia,perc,1993-1997,0.0,3072.3974466665977
Estonia,perc,1998-2002,0.0038231689611402803,4409.795459902058
Estonia,perc,2003-2007,0.0,11108.966321335321
Estonia,perc,2008-2013,0.0,16901.40721885595
Finland,perc,1973-1977,0.0,5911.412065818613
Finland,perc,1978-1982,0.0,10017.155896406268
Finland,perc,1983-1987,0.2094984401434556,13259.24969000358
Finland,perc,1988-1992,1.0,24452.35975027176
Finland,perc,1993-1997,1.0,22930.04365358426
Finland,perc,1998-2002,1.0,25633.74409583724
Finland,perc,2003-2007,0.9994228844528033,39766.13397003581
Finland,perc,2008-2013,1.0,49092.54114847749
France,perc,1973-1977,1.0,6277.586028405618
France,perc,1978-1982,0.890393098605367,10951.93559208795
France,perc,1983-1987,1.0,11803.827363249356
France,perc,1988-1992,1.0,20531.38421764596
France,perc,1993-1997,1.0,24773.52370689148
France,perc,1998-2002,1.0,23724.478288834838
France,perc,2003-2007,1.0,35204.37925789096
France,perc,2008-2013,0.9999944481876045,42467.70613939002
Germany,perc,1973-1977,1.0,6224.360652027337
Germany,perc,1978-1982,1.0,10564.71276427876
Germany,perc,1983-1987,1.0,11704.830720640113
Germany,perc,1988-1992,1.0,21476.618635923223
Germany,perc,1993-1997,1.0,28383.14893380174
Germany,perc,1998-2002,1.0,25349.57841080712
Germany,perc,2003-2007,0.9999858255427057,35497.03970292628
Germany,perc,2008-2013,1.0,44437.32513061137
Greece,perc,1973-1977,0.0,3152.343566547994
Greece,perc,1978-1982,0.0,5450.749444354418
Greece,perc,1983-1987,0.0,5381.509083944308
Greece,perc,1988-1992,0.0,9281.943912679915
Greece,perc,1993-1997,0.0,12325.907762277
Greece,perc,1998-2002,0.2,13081.75461099662
Greece,perc,2003-2007,1.0,23322.580481842284
Greece,perc,2008-2013,1.0,26443.30104208465
Hungary,perc,1973-1977,0.0,
Hungary,perc,1978-1982,0.0,
Hungary,perc,1983-1987,0.0,
Hungary,perc,1988-1992,0.0,3542.166130995505
Hungary,perc,1993-1997,0.0,4332.181285093333
Hungary,perc,1998-2002,0.0,5227.1364517202255
Hungary,perc,2003-2007,0.22244281045751632,11056.196474820606
Hungary,perc,2008-2013,0.16666666666666666,13756.08430232755
Iceland,perc,1973-1977,0.0,7305.485206035626
Iceland,perc,1978-1982,0.0,13529.943077021122
Iceland,perc,1983-1987,0.0,14992.85697472404
Iceland,perc,1988-1992,0.0,25277.63855911696
Iceland,perc,1993-1997,0.0,25992.87946435414
Iceland,perc,1998-2002,0.0,31295.536515338776
Iceland,perc,2003-2007,0.0,53835.532522789064
Iceland,perc,2008-2013,0.3333333333333333,47286.20846208382
India,perc,1973-1977,0.0,162.5197167043938
India,perc,1978-1982,0.0,248.17084291997338
India,perc,1983-1987,0.0,303.044804658243
India,perc,1988-1992,0.0,337.5656643655846
India,perc,1993-1997,0.0,367.2944704487494
India,perc,1998-2002,0.0,444.23434548157365
India,perc,2003-2007,0.0,744.8900025048464
India,perc,2008-2013,0.0,1301.6059126498628
Ireland,perc,1973-1977,0.0,2855.66642814617
Ireland,perc,1978-1982,0.0,5676.625945836284
Ireland,perc,1983-1987,0.0,7071.075931954108
Ireland,perc,1988-1992,0.0,13160.658547411158
Ireland,perc,1993-1997,0.0,18636.27952466154
Ireland,perc,1998-2002,0.03851319400927279,27511.555504201842
Ireland,perc,2003-2007,1.0,51056.4660463756
Ireland,perc,2008-2013,1.0,52439.05411481328
Italy,perc,1973-1977,0.4,3901.1074576107194
Italy,perc,1978-1982,0.0,7223.505755960429
Italy,perc,1983-1987,0.6950704486274348,9790.143753967492
Italy,perc,1988-1992,1.0,19566.66656675666
Italy,perc,1993-1997,0.6712799339381285,20669.381926276437
Italy,perc,1998-2002,0.999471506863425,21367.54824733216
Italy,perc,2003-2007,0.9995442621128647,32326.116888596378
Italy,perc,2008-2013,1.0,36997.58113589527
Japan,perc,1973-1977,1.0,4908.875982801836
Japan,perc,1978-1982,0.9482491410198367,9466.359232769832
Japan,perc,1983-1987,0.9049899985839402,14170.40556016266
Japan,perc,1988-1992,1.0,27122.818267200142
Japan,perc,1993-1997,1.0,38386.698845763916
Japan,perc,1998-2002,0.9937825342061348,34519.43604466616
Japan,perc,2003-2007,1.0,36084.795875305725
Japan,perc,2008-2013,0.999993939063982,43654.67849512018
Korea,perc,1973-1977,0.0,692.8497439654126
Korea,perc,1978-1982,0.0,1744.8911422186222
Korea,perc,1983-1987,0.0,2668.5709552782496
Korea,perc,1988-1992,0.0,6492.872977047822
Korea,perc,1993-1997,0.0,11309.903038952001
Korea,perc,1998-2002,0.0,10895.532526715577
Korea,perc,2003-2007,0.4,18541.13291857586
Korea,perc,2008-2013,1.0,22523.01689114388
Kuwait,perc,1973-1977,0.4,11121.82901297113
Kuwait,perc,1978-1982,0.9999474790178006,16880.318207068638
Kuwait,perc,1983-1987,0.6,12005.977090471417
Kuwait,perc,1988-1992,0.3183307748295084,9000.096085970164
Kuwait,perc,1993-1997,0.39443354289557275,18013.208018756734
