FATALITY_DATE,DEPLOYMENT_PROVINCE_1,count
1967-06-01,Quang Tri,128
1967-06-01,Quang Nam,188
1967-06-01,Other provinces,291
1967-07-01,Tay Ninh,10
1967-07-01,Binh Dinh,28
1967-07-01,Thua Thien - Hue,30
1967-07-01,Kon Tum,43
1967-07-01,Binh Duong,44
1967-07-01,Quang Ngai,49
1967-07-01,Quang Nam,136
1967-07-01,Quang Tri,259
1967-07-01,Other provinces,404
1967-08-01,Kon Tum,5
1967-08-01,Tay Ninh,10
1967-08-01,Thua Thien - Hue,24
1967-08-01,Binh Duong,25
1967-08-01,Binh Dinh,34
1967-08-01,Quang Ngai,46
1967-08-01,Quang Tri,79
1967-08-01,Quang Nam,198
1967-08-01,Other provinces,209
1967-09-01,Tay Ninh,11
1967-09-01,Thua Thien - Hue,21
1967-09-01,Quang Ngai,30
1967-09-01,Binh Duong,40
1967-09-01,Binh Dinh,46
1967-09-01,Other provinces,199
1967-09-01,Quang Nam,259
1967-09-01,Quang Tri,266
1967-10-01,Kon Tum,1
1967-10-01,Tay Ninh,17
1967-10-01,Quang Ngai,26
1967-10-01,Binh Dinh,39
1967-10-01,Thua Thien - Hue,51
1967-10-01,Binh Duong,96
1967-10-01,Quang Tri,137
1967-10-01,Quang Nam,237
1967-10-01,Other provinces,272
1967-11-01,Thua Thien - Hue,19
1967-11-01,Tay Ninh,21
1967-11-01,Quang Ngai,29
1967-11-01,Binh Dinh,29
1967-11-01,Binh Duong,52
1967-11-01,Quang Tri,62
1967-11-01,Quang Nam,231
1967-11-01,Kon Tum,271
1967-11-01,Other provinces,277
1967-12-01,Quang Ngai,20
1967-12-01,Tay Ninh,56
1967-12-01,Thua Thien - Hue,58
1967-12-01,Kon Tum,66
1967-12-01,Binh Duong,88
1967-12-01,Quang Tri,100
1967-12-01,Binh Dinh,112
1967-12-01,Quang Nam,151
1967-12-01,Other provinces,268
1968-01-01,Quang Ngai,40
1968-01-01,Kon Tum,46
1968-01-01,Binh Dinh,56
1968-01-01,Thua Thien - Hue,93
1968-01-01,Binh Duong,100
1968-01-01,Tay Ninh,102
1968-01-01,Quang Tri,207
1968-01-01,Quang Nam,253
1968-01-01,Other provinces,353
1968-02-01,Tay Ninh,28
1968-02-01,Quang Ngai,32
1968-02-01,Binh Dinh,35
1968-02-01,Kon Tum,74
1968-02-01,Binh Duong,128
1968-02-01,Quang Nam,316
1968-02-01,Quang Tri,402
1968-02-01,Thua Thien - Hue,432
1968-02-01,Other provinces,767
1968-03-01,Tay Ninh,21
1968-03-01,Binh Dinh,34
1968-03-01,Quang Ngai,48
1968-03-01,Kon Tum,89
1968-03-01,Binh Duong,91
1968-03-01,Quang Nam,196
1968-03-01,Thua Thien - Hue,299
1968-03-01,Quang Tri,400
1968-03-01,Other provinces,501
1968-04-01,Binh Dinh,47
1968-04-01,Tay Ninh,48
1968-04-01,Quang Ngai,51
1968-04-01,Kon Tum,63
1968-04-01,Binh Duong,97
1968-04-01,Quang Nam,136
1968-04-01,Thua Thien - Hue,294
1968-04-01,Other provinces,328
1968-04-01,Quang Tri,422
1968-05-01,Quang Ngai,43
1968-05-01,Tay Ninh,45
1968-05-01,Binh Dinh,87
1968-05-01,Kon Tum,89
1968-05-01,Binh Duong,113
1968-05-01,Thua Thien - Hue,320
1968-05-01,Quang Nam,412
1968-05-01,Other provinces,552
1968-05-01,Quang Tri,603
1968-06-01,Tay Ninh,23
