BusStopCode,RATIO,TOTAL
10009,112.38968092328581,18771
10011,129.7029702970297,1392
10017,101.24610591900311,2584
10018,23.232323232323232,3050
10021,239.43661971830986,482
10041,324.282982791587,2219
10049,76.56427758816837,1552
10051,324.1496598639456,1247
10059,57.73195876288659,612
10061,210.22727272727272,819
10069,52.88220551378446,610
10071,124.52702702702703,3323
10079,68.13388353966072,3667
10081,94.05594405594405,1665
10089,99.27243330638642,2465
10091,121.8131868131868,4037
10099,140.63604240282686,2724
10101,127.45098039215685,928
10109,107.44186046511628,446
10111,89.74874371859296,1888
10119,110.06993006993007,1502
10121,17.561683599419446,1620
10129,424.75728155339806,1081
10131,200.357568533969,2520
10139,85.7687420584498,2924
10141,773.9884393063584,3024
10149,30.272108843537417,2681
10151,120.91194968553458,1405
10161,239.15592028135993,14465
10169,56.592664092664094,16223
10171,106.55737704918033,504
10179,67.97385620915033,514
10181,63.54609929078015,1153
10189,130.76923076923077,1470
10191,124.29614181439,2151
10199,176.24113475177305,1558
10201,168.71450696954054,5205
10209,75.15055467511887,5526
10211,95.45454545454545,43
10219,46.57534246575342,107
10221,828.125,297
10229,13.125,181
10231,572.992700729927,922
10239,10.904007455731593,1190
10241,83.11111111111111,412
10249,86.03351955307262,333
10261,112.35059760956175,533
10269,69.33962264150944,359
10271,73.28519855595668,480
10279,104.8780487804878,504
10281,101.74603174603175,1271
10289,32.01970443349754,536
10291,123.36182336182335,3136
10299,70.68696330991413,4373
10321,27.203065134099617,664
10329,542.8571428571429,855
10331,47.49455337690632,677
10339,125.48476454293629,814
10341,219.30232558139534,1373
10349,41.6971916971917,2321
10351,196.35258358662614,975
10359,41.711229946524064,530
10361,229.58333333333334,1582
10369,47.29645742697328,2370
10371,132.7796234772979,2102
10379,72.01138519924099,1813
10381,40.229885057471265,976
10389,253.38809034907598,1721
10391,43.843283582089555,771
10399,562.8865979381444,643
10401,12050.0,243
10409,1.3157894736842104,308
10411,2600.0,54
10419,9.467455621301776,185
10421,213.26530612244898,614
10429,29.47368421052631,492
10431,228.91566265060243,273
10439,28.57142857142857,414
10441,61.36363636363637,142
10449,33.33333333333333,296
10451,218.42105263157893,121
10459,26.17801047120419,241
10461,100.0,96
10469,26.72413793103448,147
10471,86.5979381443299,181
10479,27.35294117647059,433
10481,254.86111111111111,511
10489,243.95604395604397,313
10499,113.62586605080831,925
10501,227.1523178807947,494
10519,267.6470588235294,750
10599,85.0914205344585,1316
10651,27.106227106227106,694
10659,226.66666666666666,294
11009,165.39256198347107,2569
11019,52.3578026251823,3134
11021,180.0650054171181,2585
11029,79.1641057160418,2915
11031,129.41176470588235,585
11039,62.295081967213115,594
11041,142.0863309352518,673
11049,64.96519721577727,711
11051,202.26364846870837,2270
11059,51.80983252296056,2810
11061,80.80000000000001,678
11069,94.3820224719101,173
11071,65.49636803874091,1367
11079,71.49532710280374,734
11081,76.52173913043478,203
11089,121.23893805309736,250
11091,172.8395061728395,442
11099,50.57471264367817,393
11101,165.47619047619045,1561
11109,94.46808510638299,914
11111,63.46153846153846,1870
11119,155.04587155963304,1946
11131,35.977337110481585,480
11139,69.40298507462687,454
11141,65.12798992866135,3935
11149,381.37254901960785,2946
11151,93.84328358208955,1039
11159,125.32751091703057,516
11161,83.18683795357224,8128
11169,114.79905437352247,9086
11171,45.22875816993464,1111
11179,179.72560975609758,1835
11181,173.85943279901358,2221
11189,96.66988416988417,4075
11191,361.3899613899614,1195
11199,63.095238095238095,1233
11201,360.8695652173913,318
11209,20.87912087912088,440
11211,550.0,156
11219,18.91891891891892,176
11221,532.8125,405
11229,27.147766323024054,370
11231,259.2857142857143,503
