BusStopCode,RATIO,TOTAL,Description,Latitude,Longitude
22071,5507.692307692308,3645,Bef Jurong Pier Rd,1.31433636827053,103.70695129035255
49151,5501.941747572815,11540,Daiya Engrg,1.43666749998525,103.74684027798631
34029,5464.705882352941,946,Bef Lim Chu Kang Lane 5,1.43497194397025,103.70818333298028
25651,5437.931034482759,1606,NOVARTIS,1.299345,103.63553
78259,5185.9205776173285,14642,Opp Lighthouse,1.37802115263457,103.95936584739643
96439,4958.20895522388,6778,CHANGI NAVAL BASE,1.318248056,104.0155981
24049,4920.673076923076,10443,Pasir Laba Camp,1.33094144977498,103.67379074701834
90021,4732.493702770781,19185,Pebble Bay,1.297235556,103.8710544
24609,4721.0526315789475,2748,Opp Progress Galvanizing,1.3134310373537,103.65475166394909
25609,4600.0,893,MERCK SHARP & DOHME,1.301942,103.634519
25691,4430.106382978724,42583,AFT TUAS WEST RD STN,1.328519,103.639669
25151,4337.606837606838,5192,Mercedes-Benz Logistics,1.32913728132074,103.65325524319752
80231,4295.098039215686,8966,Opp Blk 53,1.31856503177728,103.88010860959606
18199,4282.142857142857,1227,Aft Whitchurch Rd,1.29544342826531,103.79407617440387
25599,4218.604651162791,1857,WYETH PHARMACEUTICALS,1.30943,103.635806
96329,4160.7594936708865,6732,DHL,1.33202391003542,103.96526335898176
25551,4120.0,1899,GARMCO,1.325522,103.645927
95069,4118.376865671642,45221,Opp SIA Hangar,1.37789848118317,103.99643160040588
23219,4028.9308176100626,6565,Tru-Marine,1.31832727349422,103.68852528629336
47039,3860.3741496598636,23287,Aft View Rd,1.45156922188356,103.78905216062749
23261,3713.4146341463415,3127,Opp Exxon Mobil,1.31264863196713,103.68577338809426
33039,3691.6666666666665,455,Opp Jln Bahtera,1.42329599233546,103.70408030420536
34059,3641.935483870968,1160,Yishun Dairy Farm,1.44234338763128,103.7078689605441
25421,3559.404302261445,66345,OPP TUAS LINK STN,1.3414665264837,103.63745040018382
16119,3484.263959390863,7061,Teletech Pk,1.28697650703193,103.78260551222012
58451,3472.674418604651,6145,Aft Heavy Veh Pk,1.46002660309429,103.81537241523831
22081,3471.9298245614036,4072,Opp Natsteel,1.30599555710248,103.70037593299399
