PATH,TOTAL_TRIPS,BusStopCode
46009/65069,23632,46009
27401/22009,23627,27401
66369/66389,23527,66369
84539/84361,23490,84539
46009/46791,23477,46009
60121/60141,23444,60121
46521/46009,23437,46521
17009/17211,23419,17009
59561/59571,23397,59561
84351/84009,23372,84351
65199/75009,23248,65199
54009/54219,23226,54009
17009/17061,23213,17009
59349/59671,23210,59349
10299/10209,23199,10299
28009/28641,23113,28009
14029/14141,23042,14029
84009/84381,23021,84009
65439/65009,22987,65439
12091/42059,22971,12091
59459/59009,22913,59459
96219/85099,22882,96219
60161/60261,22854,60161
66351/64111,22852,66351
28009/28311,22772,28009
45261/45321,22770,45261
66359/63299,22735,66359
84009/84419,22642,84009
47521/46009,22579,47521
44689/44009,22491,44689
28319/28009,22428,28319
22009/27459,22405,22009
46399/46009,22403,46399
22009/21371,22385,22009
21431/28099,22282,21431
52381/52009,22252,52381
95109/65191,22181,95109
45401/45329,22164,45401
63291/66351,22157,63291
27279/22009,22142,27279
10161/10369,22139,10161
22009/27411,22132,22009
81111/82099,22126,81111
75009/65191,22112,75009
77009/78221,22102,77009
53009/53371,22091,53009
22359/22009,22084,22359
59009/59179,22006,59009
64579/67609,21977,64579
28511/22009,21947,28511
60261/61101,21935,60261
77009/78081,21906,77009
46009/46391,21833,46009
54261/54271,21791,54261
22519/22009,21778,22519
66429/66359,21761,66429
44261/46009,21714,44261
78089/77009,21656,78089
65191/46009,21636,65191
59009/59409,21598,59009
28339/28009,21555,28339
75009/76279,21546,75009
75009/98301,21543,75009
52009/52151,21543,52009
59561/59449,21499,59561
10371/10169,21484,10371
84031/84239,21479,84031
66359/62229,21449,66359
59409/59009,21428,59409
46771/46831,21385,46771
75009/59041,21348,75009
54009/54329,21339,54009
46429/46008,21336,46429
59419/59569,21326,59419
58361/58251,21323,58361
52009/52081,21308,52009
81099/81089,21256,81099
46129/46521,21225,46129
10129/10161,21189,10129
75121/75009,21173,75121
52429/52179,21171,52429
22009/21599,21154,22009
46009/44269,21142,46009
22009/27301,21063,22009
54261/54571,21047,54261
59073/59341,20917,59073
64119/66359,20906,64119
27329/22529,20887,27329
45009/30039,20805,45009
46009/76191,20803,46009
14381/10169,20757,14381
67009/67171,20753,67009
27211/22529,20742,27211
59441/59569,20735,59441
98309/75009,20701,98309
43009/43499,20689,43009
45009/44661,20672,45009
28689/28009,20668,28689
54261/54389,20649,54261
66359/63309,20646,66359
70019/81089,20603,70019
46539/46529,20584,46539
65061/46009,20569,65061
44009/44571,20558,44009
82221/82009,20524,82221
65009/65261,20443,65009
46761/46771,20428,46761
59009/59451,20402,59009
67009/65049,20393,67009
84521/84201,20391,84521
54321/54009,20370,54321
48131/54009,20368,48131
28671/17179,20312,28671
54381/54009,20259,54381
59009/59211,20257,59009
50038/50089,20247,50038
22529/22009,20245,22529
46531/46009,20232,46531
84361/84009,20224,84361
46009/46421,20220,46009
59009/59601,20219,59009
54489/55509,20208,54489
80069/80101,20081,80069
17179/12091,20053,17179
17171/17371,20050,17171
46009/46471,20044,46009
46279/46009,20016,46279
25691/25771,20002,25691
45009/44801,19984,45009
66351/63361,19972,66351
66009/64491,19962,66009
55509/54481,19938,55509
78079/77009,19932,78079
65009/65281,19932,65009
22009/22441,19895,22009
58529/58211,19882,58529
67611/67601,19858,67611
77071/77009,19851,77071
58341/58251,19847,58341
77009/77211,19828,77009
27199/22009,19790,27199
46009/46549,19773,46009
17009/17221,19697,17009
59079/47619,19664,59079
22009/27341,19625,22009
14031/10169,19594,14031
22009/27211,19590,22009
59639/59569,19569,59639
59601/59009,19562,59601
52009/52451,19467,52009
45131/46069,19451,45131
44579/44009,19442,44579
46779/46289,19434,46779
43009/43331,19386,43009
76189/75009,19378,76189
96169/96291,19366,96169
43841/43579,19364,43841
52269/52009,19355,52269
85091/96219,19355,85091
44539/44399,19348,44539
67119/67409,19344,67119
53241/53231,19344,53241
22009/27531,19314,22009
54009/54229,19309,54009
81089/80089,19281,81089
46241/46009,19281,46241
70051/61031,19270,70051
50038/50019,19269,50038
58409/58211,19233,58409
44809/45009,19223,44809
46009/46691,19192,46009
82009/82049,19178,82009
30031/44539,19151,30031
95129/65191,19143,95129
43009/43619,19106,43009
44261/46521,19088,44261
75009/75201,19042,75009
59079/59251,19013,59079
77291/77009,19000,77291
65199/75359,18999,65199
59381/59009,18999,59381
28521/28091,18991,28521
28459/28009,18974,28459
76511/75009,18923,76511
28009/28461,18922,28009
63031/63349,18901,63031
84209/84529,18874,84209
77051/77031,18771,77051
65191/65009,18750,65191
11521/11141,18728,11521
66351/64101,18715,66351
43009/43179,18697,43009
66339/54009,18680,66339
46009/46671,18665,46009
58521/59072,18661,58521
84551/84009,18660,84551
47039/46521,18623,47039
22009/22351,18620,22009
75009/76181,18539,75009
59421/59711,18537,59421
20109/17179,18526,20109
64049/64009,18486,64049
46008/46629,18475,46008
21561/28091,18472,21561
46009/47511,18462,46009
22009/22011,18458,22009
52361/52009,18443,52361
59079/58261,18427,59079
59009/59359,18427,59009
52159/52009,18414,52159
46009/46539,18405,46009
75009/75149,18375,75009
66009/66309,18341,66009
43171/43009,18296,43171
46989/46009,18282,46989
66359/66421,18270,66359
59009/59241,18258,59009
43491/43579,18250,43491
54199/54009,18241,54199
66351/63211,18218,66351
44281/44009,18218,44281
59079/59261,18193,59079
45301/44531,18167,45301
59591/59009,18161,59591
53009/54371,18145,53009
17179/12101,18134,17179
46009/46529,18108,46009
22009/28539,18107,22009
54261/54379,18106,54261
46009/46461,18102,46009
28009/28541,18075,28009
21459/28099,18052,21459
46549/46529,18042,46549
80101/60121,18019,80101
55509/55139,18018,55509
28511/28401,17973,28511
43009/42319,17935,43009
84579/84031,17933,84579
52321/52009,17916,52321
64009/64329,17888,64009
10341/10169,17833,10341
46069/46511,17825,46069
22009/22521,17784,22009
75279/75009,17774,75279
59409/59569,17770,59409
62251/64009,17764,62251
22009/22251,17732,22009
46779/46679,17714,46779
19039/19071,17705,19039
67409/67399,17662,67409
81119/81219,17639,81119
44879/44031,17639,44879
27411/22009,17636,27411
54019/53231,17632,54019
47049/46521,17602,47049
50059/50038,17572,50059
17009/17269,17568,17009
