,BusStopCode,RoadName,Description,Latitude,Longitude
2555,58029,Sembawang Rd,Aft Canberra Rd,1.44315919415772,103.82398509211036
2556,58041,Sembawang Rd,Blk 590C,1.44939346470038,103.8268558037182
2557,58049,Sembawang Rd,Opp Blk 590C,1.44919525191106,103.82703542333945
2558,58051,Sembawang Rd,Blk 592C,1.45087972197488,103.82843083296738
2559,58059,Sembawang Rd,Opp Blk 592C,1.45079007708143,103.82866296034206
2560,58061,Sembawang Rd,Aft Durban Rd,1.45296423052616,103.83110625286093
2561,58069,Sembawang Rd,Opp Durban Rd,1.45271386343891,103.83118398014977
2562,58071,Sembawang Rd,Bef Jln Basong,1.45528422069638,103.83388976874676
2563,58079,Sembawang Rd,Aft Jln Basong,1.45500446219905,103.83381218856621
2564,58081,Sembawang Rd,Opp Jln Janggus,1.45825194403092,103.83594609403143
2565,58089,Sembawang Rd,Aft Andrews Ave,1.45873255930273,103.83654216993519
2566,58091,Sembawang Rd,Sembawang Pk,1.46211498021096,103.8379191742591
2567,58099,Sembawang Rd,Opp Sembawang Pk,1.46149876184454,103.83756576168646
2568,58101,Canberra Rd,Blk 311,1.44667277800811,103.82282277802054
2569,58109,Canberra Rd,Opp Blk 311,1.44667607916689,103.82309298513003
2570,58111,Canberra Rd,Blk 351 CP,1.45096272310028,103.82075231895968
2571,58119,Canberra Rd,Blk 502A,1.45099925490468,103.82102323159111
2572,58121,Canberra Rd,Blk 424A CP,1.45329115486737,103.81929476185202
2573,58129,Canberra Rd,Blk 508 CP,1.45284216119403,103.8198821920911
2574,58131,Canberra Rd,Aft Assyafaah Mque,1.4562533329966,103.82045999997707
2575,58139,Canberra Rd,Bef Assyafaah Mque,1.45637564424183,103.82074569870127
2576,58141,Admiralty Rd West,Sembawang Camp,1.463365158306,103.81653183057891
2577,58149,Admiralty Rd West,Opp Sembawang Shipyard G 8,1.46190359169667,103.81788921693168
2578,58151,Canberra Rd,Bef Sembawang Stn,1.44835904274406,103.82201343608213
2579,58159,Canberra Rd,Aft Admiral Hill,1.44821708737482,103.82235611868522
2580,58161,Admiralty Rd West,Bef Sembawang Shipyard G 3,1.46052755709037,103.82037350350512
2581,58169,Admiralty Rd West,Aft HomeTeamNS Sembawang Resort,1.45978696349073,103.82092447388442
2582,58171,Admiralty Rd West,Sembawang Corp Industries,1.45890580814381,103.82379883168399
2583,58179,Admiralty Rd West,Opp Sembawang Corp Industries,1.45855645310428,103.82350997035716
2584,58181,Admiralty Rd West,Sembawang Drug Rehab Ctr,1.45964275024639,103.82625715308492
2585,58189,Admiralty Rd West,Opp Sembawang Drug Rehab Ctr,1.45915444426655,103.82601182603965
2586,58191,Admiralty Rd East,Aft Wellington Rd,1.45875202875202,103.82875514072087
2587,58199,Admiralty Rd East,OPP AUCKLAND ROAD WEST,1.4590501574168,103.82788431875926
2588,58201,Admiralty Rd East,Aft Queen'S Ave,1.45531234912714,103.83098996673239
2589,58209,Admiralty Rd East,Aft Pakistan Rd,1.45524083298775,103.83062638903208
2590,58211,Sembawang Way,Sembawang Stn,1.44926202582359,103.81979401898032
2591,58219,Sembawang Way,Opp Sembawang Stn,1.44953463697186,103.8199297231716
2592,58221,Sembawang Way,Blk 339 CP,1.44859264769928,103.81706577986397
2593,58229,Sembawang Way,Blk 358A CP,1.44875084068886,103.8168059210019
2594,58241,Sembawang Vista,Sembawang Int,1.44722064601498,103.82018490260376
2595,58249,Sembawang Vista,Blk 309,1.44711722202289,103.82118555599861
2596,58251,Sembawang Dr,Sun Plaza,1.44803148822713,103.81895207486829
2597,58259,Sembawang Dr,Opp Sun Plaza,1.44777267175187,103.81895151565973
2598,58261,Canberra Link,VISIONAIRE,1.44710213838584,103.82726305553976
2599,58269,Canberra Link,OPP VISIONAIRE,1.44702361616489,103.82761997468876
2600,58271,Sembawang Cres,Blk 335,1.44702783502401,103.81470654183288
2601,58279,Sembawang Cres,Opp Blk 336A CP,1.44658462255674,103.81456918653721
2602,58281,Sembawang Cres,Sembawang Sec Sch,1.4450136750226,103.8162666133863
2603,58289,Sembawang Cres,Opp Sembawang Sec Sch,1.44485960840447,103.81627162679553
2604,58291,Sembawang Dr,Blk 317,1.44579319988216,103.8199449173096
2605,58299,Sembawang Dr,Blk 328,1.44582915331137,103.81968463382916
2606,58301,Gambas Ave,3M Bldg,1.44485650594175,103.81055057568135
2607,58309,Gambas Ave,Opp 3M Bldg,1.44466063592056,103.81036650514453
2608,58311,Sembawang Dr,Blk 354 CP,1.4501979542693,103.81810459422103
2609,58319,Sembawang Dr,Blk 357C,1.44976933938251,103.81802192152004
2610,58321,Admiralty Dr,Bet Blks 357/359,1.45020573824638,103.81614518346868
2611,58329,Admiralty Dr,Blk 474,1.45050186875947,103.81655964918443
2612,58331,Canberra Link,Blk 589D,1.44974129560526,103.82397609690102
2613,58339,Canberra Link,Opp Blk 589D,1.44936138505812,103.82430573345592
2614,58341,Sembawang Dr,Blk 405,1.45267992935187,103.81687772159036
2615,58349,Sembawang Dr,Blk 478,1.45273139537549,103.81642343207659
2616,58351,Sembawang Dr,Blk 483,1.45593548683251,103.81491062256012
2617,58359,Sembawang Dr,Opp Blk 484A CP,1.45619440004203,103.81465411421149
2618,58361,Admiralty St,Nth Link Bldg,1.46118688481447,103.81270708997143
2619,58369,Admiralty St,BEF ACACIA HME,1.46077451756536,103.81206144667213
2620,58371,Sembawang Cres,Bet Blks 325/326,1.44449009584233,103.8190895319006
2621,58379,Sembawang Cres,Opp Blk 325,1.44428574142951,103.81900511225648
2622,58381,Sembawang Way,Blk 469B,1.44797049342873,103.81337787352544
2623,58389,Sembawang Way,Opp Blk 469B,1.44773992017207,103.8135666814871
2624,58391,Sembawang Ave,Blk 303,1.44426472199698,103.82241222202445
2625,58399,Sembawang Ave,Opp Blk 303,1.44399912458783,103.822564665947
2626,58401,Admiralty Link,Opp Blk 491,1.45575658287341,103.81800207598671
2627,58409,Admiralty Link,Blk 491,1.4561083849161,103.81810058815044
2628,58411,Admiralty Link,Blk 404A CP,1.45461200191848,103.81658372927154
2629,58419,Admiralty Link,Blk 482A CP,1.4546446175566,103.81583789207467
2630,58421,Admiralty Dr,Blk 353,1.4513061244853,103.81902919989243
2631,58429,Admiralty Dr,Bet Blks 415/416,1.45151629026328,103.81892529028816
2632,58439,Champions Way,Innova JC,1.42857896419364,103.78833922258168
2633,58449,Champions Way,S'pore Sports Sch,1.4270920469684,103.78906720963263
2634,58451,Sembawang Dr,Aft Heavy Veh Pk,1.46002660309429,103.81537241523831
2635,58459,Sembawang Dr,Bef Heavy Veh Pk,1.45994030687762,103.81514063371951
2636,58461,Champions Way,Innova Pr Sch,1.42965591818928,103.79044555841314
2637,58479,Woodlands Dr 17,Aft Innova Pr Sch,1.4283363281994,103.78977121023533
2638,58481,Wellington Circle,Opp Wellington Pr Sch,1.45305905176825,103.82267933798676
2639,58489,Wellington Circle,Wellington Pr Sch,1.45285946613506,103.82251092163827
2640,58491,Montreal Dr,Opp Blk 507A,1.45272174340224,103.82431343665893
2641,58499,Montreal Dr,Blk 506A,1.45205869701978,103.82428769521943
2642,58501,Montreal Link,Blk 592A,1.4507187825944,103.82708492151545
2643,58509,Montreal Link,Blk 590A,1.45059927113154,103.82696425665894
2644,58511,Canberra st,Blk 104C,1.44964,103.8315
2645,58519,Canberra st,OPP BLK 104B,1.44973306,103.831062
2646,58521,Canberra st,BLK 106A,1.44819389,103.8326
2647,58529,Canberra st,BLK 108 CP,1.44801889,103.832461
2648,58531,Canberra Way,BLK 129A,1.44543806,103.8323
2649,58539,Canberra Way,BLK 120A,1.44576806,103.832311
2650,59009,Yishun Ave 2,Yishun Temp Int,1.42997370944851,103.83743448975132
2651,59011,Lentor Ave,Bef Sg Seletar Bridge,1.40205059877403,103.82737908252
2652,59019,Lentor Ave,Aft Sg Seletar Bridge,1.40217670308957,103.82763036053306
