PATH,TOTAL_TRIPS,ORIGIN_PT_CODE,DESTINATION_PT_CODE
59569/59761,24182,59761,59569
10209/11521,24156,11521,10209
81111/82119,24145,81111,82119
54009/54231,24043,54231,54009
28099/28391,24038,28099,28391
22009/22341,24010,22009,22341
81129/82049,23995,82049,81129
67389/67409,23990,67409,67389
11169/11179,23986,11179,11169
28009/28501,23960,28009,28501
17151/19031,23895,19031,17151
53231/54389,23895,54389,53231
59091/59219,23852,59091,59219
54009/54189,23849,54189,54009
58211/58539,23826,58539,58211
67009/67379,23818,67379,67009
46779/46851,23787,46851,46779
42311/43009,23786,42311,43009
44009/45311,23783,44009,45311
21581/28091,23686,21581,28091
46009/65069,23632,46009,65069
22009/27401,23627,27401,22009
66369/66389,23527,66369,66389
84361/84539,23490,84539,84361
46009/46791,23477,46009,46791
60121/60141,23444,60121,60141
46009/46521,23437,46521,46009
17009/17211,23419,17009,17211
59561/59571,23397,59561,59571
84009/84351,23372,84351,84009
65199/75009,23248,65199,75009
54009/54219,23226,54009,54219
17009/17061,23213,17009,17061
59349/59671,23210,59349,59671
10209/10299,23199,10299,10209
28009/28641,23113,28009,28641
14029/14141,23042,14029,14141
84009/84381,23021,84009,84381
65009/65439,22987,65439,65009
12091/42059,22971,12091,42059
59009/59459,22913,59459,59009
85099/96219,22882,96219,85099
60161/60261,22854,60161,60261
64111/66351,22852,66351,64111
28009/28311,22772,28009,28311
45261/45321,22770,45261,45321
63299/66359,22735,66359,63299
84009/84419,22642,84009,84419
46009/47521,22579,47521,46009
44009/44689,22491,44689,44009
28009/28319,22428,28319,28009
22009/27459,22405,22009,27459
46009/46399,22403,46399,46009
21371/22009,22385,22009,21371
21431/28099,22282,21431,28099
52009/52381,22252,52381,52009
65191/95109,22181,95109,65191
45329/45401,22164,45401,45329
63291/66351,22157,63291,66351
22009/27279,22142,27279,22009
10161/10369,22139,10161,10369
22009/27411,22132,22009,27411
81111/82099,22126,81111,82099
65191/75009,22112,75009,65191
77009/78221,22102,77009,78221
53009/53371,22091,53009,53371
22009/22359,22084,22359,22009
59009/59179,22006,59009,59179
64579/67609,21977,64579,67609
22009/28511,21947,28511,22009
60261/61101,21935,60261,61101
77009/78081,21906,77009,78081
46009/46391,21833,46009,46391
54261/54271,21791,54261,54271
22009/22519,21778,22519,22009
66359/66429,21761,66429,66359
44261/46009,21714,44261,46009
77009/78089,21656,78089,77009
46009/65191,21636,65191,46009
