PATH,TOTAL_TRIPS,ORIGIN_PT_CODE,DESTINATION_PT_CODE
59551/59079,14146,59551,59079
67009/65029,14124,67009,65029
28671/42159,14114,28671,42159
43009/43509,14112,43009,43509
65009/65199,14089,65009,65199
10169/14269,14088,10169,14269
28091/21569,14085,28091,21569
67409/67699,14076,67409,67699
44591/44031,14062,44591,44031
75009/75271,14027,75009,75271
58509/58211,14017,58509,58211
48131/44009,14009,48131,44009
54189/54261,14005,54189,54261
65009/65541,14005,65009,65541
28009/29019,14000,28009,29019
20299/17171,13992,20299,17171
44009/45451,13985,44009,45451
46009/47561,13983,46009,47561
85091/85061,13982,85091,85061
47599/47569,13963,47599,47569
75289/75009,13958,75289,75009
58219/58411,13953,58219,58411
84231/85091,13950,84231,85091
46088/46009,13939,46088,46009
75009/75079,13922,75009,75079
53349/53009,13911,53349,53009
46008/46361,13897,46008,46361
64409/64009,13889,64409,64009
65009/76059,13878,65009,76059
14141/14241,13878,14141,14241
20219/28009,13877,20219,28009
10189/10169,13872,10189,10169
43009/43369,13855,43009,43369
52301/52009,13846,52301,52009
46191/46009,13839,46191,46009
14141/14279,13822,14141,14279
27211/22009,13815,27211,22009
52009/50201,13808,52009,50201
84011/84009,13788,84011,84009
11361/12121,13784,11361,12121
46621/46009,13761,46621,46009
85021/85099,13753,85021,85099
53239/53371,13745,53239,53371
84009/72069,13733,84009,72069
67601/64571,13706,67601,64571
65209/65009,13677,65209,65009
66331/66301,13677,66331,66301
43339/43009,13675,43339,43009
40181/40121,13668,40181,40121
45311/45321,13663,45311,45321
63011/63031,13652,63011,63031
21641/28091,13646,21641,28091
76199/46009,13646,76199,46009
66271/66009,13644,66271,66009
46009/46711,13626,46009,46711
22019/22009,13619,22019,22009
64009/66579,13597,64009,66579
50189/50038,13588,50189,50038
84209/84351,13578,84209,84351
75051/76071,13569,75051,76071
64009/64479,13550,64009,64479
45139/45079,13545,45139,45079
17009/17159,13528,17009,17159
52289/52009,13524,52289,52009
85099/84101,13510,85099,84101
54659/55509,13495,54659,55509
20109/17009,13474,20109,17009
59079/58529,13473,59079,58529
47571/47591,13466,47571,47591
84039/84641,13466,84039,84641
76249/76039,13462,76249,76039
44009/45261,13457,44009,45261
77009/78261,13438,77009,78261
84109/85091,13436,84109,85091
46489/46779,13425,46489,46779
22009/27419,13418,22009,27419
28571/28009,13412,28571,28009
64009/63389,13378,64009,63389
43009/43541,13357,43009,43541
21019/28009,13349,21019,28009
55509/64491,13347,55509,64491
75009/75109,13337,75009,75109
64009/64051,13330,64009,64051
67109/67409,13316,67109,67409
52009/60221,13313,52009,60221
66109/54269,13311,66109,54269
65339/65009,13310,65339,65009
52009/52411,13299,52009,52411
10161/10379,13299,10161,10379
10079/10161,13297,10079,10161
22521/27211,13297,22521,27211
22521/27131,13276,22521,27131
77009/78251,13272,77009,78251
75009/76121,13265,75009,76121
84009/84301,13264,84009,84301
66481/67609,13255,66481,67609
54009/54201,13255,54009,54201
65199/95029,13253,65199,95029
14161/15051,13250,14161,15051
63291/62139,13226,63291,62139
64481/64549,13206,64481,64549
75151/75009,13195,75151,75009
17171/28689,13195,17171,28689
44009/44561,13194,44009,44561
46529/44269,13194,46529,44269
75009/76519,13188,75009,76519
59009/59639,13178,59009,59639
54261/54581,13163,54261,54581
58219/58121,13136,58219,58121
