BusStopCode,TIME_PER_HOUR,TOTAL_TRIPS
16079,12,955
16081,12,1168
16089,12,813
16091,12,1279
16099,12,1015
16101,12,110
16109,12,244
16111,12,301
16119,12,358
16121,12,298
16131,12,281
16139,12,163
16141,12,173
16149,12,412
16151,12,956
16159,12,1314
16161,12,282
16169,12,908
16171,12,314
16179,12,923
16181,12,640
16189,12,1785
16191,12,45
16199,12,241
16201,12,255
16209,12,214
16221,12,299
16229,12,919
16231,12,618
16239,12,398
16241,12,37
16249,12,41
16891,12,940
16991,12,1859
17009,12,29661
17011,12,503
17019,12,601
17021,12,1449
17029,12,1119
17031,12,648
17039,12,609
17041,12,9355
17049,12,6965
17051,12,829
17059,12,1180
17061,12,2345
17069,12,2924
17071,12,1727
17079,12,2124
17081,12,270
17091,12,1227
17099,12,1481
17101,12,1212
17109,12,962
17111,12,536
17119,12,533
17121,12,2014
17129,12,948
17131,12,356
17139,12,231
17141,12,1304
17149,12,1010
17151,12,5121
17159,12,5412
17161,12,4616
17169,12,1610
17171,12,34171
17179,12,22266
17181,12,519
17189,12,2103
17191,12,724
17201,12,4382
17211,12,1109
17219,12,655
17221,12,1107
17229,12,1411
17239,12,5153
17241,12,723
17249,12,668
17251,12,788
17259,12,945
17269,12,875
17279,12,1102
17289,12,195
17291,12,32
17299,12,28
17301,12,222
17309,12,147
17311,12,161
17319,12,357
17321,12,245
17329,12,382
17331,12,183
17339,12,304
17351,12,113
17359,12,67
17361,12,277
17369,12,708
17371,12,893
17379,12,451
17381,12,325
17389,12,464
18011,12,1133
18019,12,1244
18021,12,121
18029,12,165
18041,12,321
18049,12,899
18051,12,153
18059,12,111
18061,12,168
18069,12,86
18071,12,2532
18079,12,2685
18081,12,201
18089,12,267
18101,12,1056
18109,12,794
18111,12,1076
18119,12,961
18121,12,764
18129,12,1166
18131,12,715
18141,12,840
18149,12,538
18151,12,178
18159,12,209
18179,12,26
18181,12,122
18189,12,71
18191,12,65
18199,12,44
18201,12,220
18211,12,299
18221,12,31
18239,12,84
18241,12,212
18249,12,251
18251,12,68
18261,12,150
18269,12,222
18271,12,277
18279,12,319
18281,12,81
18289,12,37
18301,12,357
18309,12,413
18311,12,145
18319,12,286
18321,12,309
18329,12,266
18331,12,951
18339,12,917
19011,12,3547
19019,12,3158
19021,12,908
19029,12,370
19031,12,4555
19039,12,4827
19041,12,354
19049,12,512
19051,12,861
19059,12,657
19061,12,203
19069,12,157
19071,12,2797
19079,12,122
19081,12,2228
19089,12,2958
19091,12,583
19099,12,677
20011,12,401
20019,12,1380
20021,12,1366
20029,12,994
20031,12,647
20039,12,775
20051,12,416
20059,12,650
20061,12,64
20069,12,69
20081,12,156
20089,12,174
20101,12,2092
20109,12,2703
20121,12,529
20129,12,1199
20131,12,466
20139,12,490
20141,12,308
20149,12,432
20151,12,242
20159,12,830
20161,12,218
20169,12,498
20171,12,232
20179,12,550
20181,12,566
20189,12,1297
20191,12,665
20199,12,1648
20201,12,2021
20209,12,806
20211,12,646
20219,12,973
20231,12,2856
20239,12,4429
20241,12,58
20249,12,248
20251,12,248
20259,12,411
20261,12,721
20269,12,802
20271,12,1589
20281,12,850
20289,12,389
20291,12,2306
20299,12,3457
20309,12,368
20319,12,765
20329,12,445
20331,12,680
20341,12,824
21011,12,642
21019,12,578
21021,12,23
21029,12,470
21041,12,127
21049,12,124
21051,12,123
21059,12,94
21069,12,457
21071,12,476
21079,12,520
21089,12,408
21099,12,208
21109,12,402
21111,12,31
21119,12,10
21121,12,108
21129,12,47
21141,12,327
21149,12,381
21151,12,164
21159,12,83
21161,12,597
21169,12,120
21171,12,689
21179,12,1579
21181,12,143
21189,12,225
21191,12,217
21199,12,291
21201,12,84
21209,12,40
21211,12,1206
21219,12,684
21229,12,521
21231,12,320
21239,12,319
21241,12,961
21249,12,1192
21251,12,332
21259,12,256
21261,12,316
21269,12,265
21271,12,318
21279,12,675
21291,12,228
21299,12,86
21301,12,179
21309,12,37
21311,12,58
21319,12,30
21321,12,136
21329,12,77
21331,12,264
21339,12,39
21341,12,131
21351,12,317
21359,12,183
21361,12,548
21369,12,771
21371,12,2458
21379,12,2841
21381,12,347
21389,12,765
21391,12,1220
21399,12,1613
21409,12,218
21411,12,390
21419,12,745
21421,12,3515
21429,12,3578
21431,12,2080
21439,12,717
21441,12,4364
21449,12,6710
21451,12,1281
21459,12,1326
21461,12,183
21469,12,217
21471,12,49
21479,12,58
21481,12,396
21489,12,297
21491,12,575
21499,12,943
21501,12,358
21509,12,268
21511,12,145
21519,12,263
21521,12,128
21529,12,144
21531,12,50
21539,12,157
21541,12,75
21549,12,88
21551,12,1120
21559,12,1022
21561,12,2774
21569,12,1965
21571,12,1099
21579,12,1028
21581,12,2152
21589,12,1154
21591,12,6281
21599,12,5010
21601,12,2762
21609,12,3112
21611,12,948
21619,12,1190
21621,12,478
21629,12,162
21631,12,490
21639,12,469
21641,12,931
21649,12,518
21651,12,683
21659,12,196
21661,12,798
21669,12,294
21671,12,612
21679,12,300
21681,12,869
21689,12,1181
21691,12,439
21699,12,775
21711,12,305
21719,12,145
21751,12,312
21759,12,148
21761,12,326
21769,12,179
21771,12,829
21779,12,1965
22009,12,111187
22011,12,1070
22019,12,334
22021,12,482
22029,12,44
22031,12,82
22041,12,56
22049,12,9
22051,12,106
22059,12,34
22061,12,232
22069,12,141
22071,12,109
22079,12,42
22081,12,203
22089,12,118
22091,12,77
22141,12,246
22149,12,328
22151,12,189
22159,12,94
22161,12,232
22169,12,146
22171,12,508
22179,12,138
22181,12,1492
22189,12,715
22191,12,267
22199,12,212
22219,12,123
22221,12,98
22229,12,141
22231,12,1515
22239,12,1970
22241,12,1000
22249,12,1348
22251,12,705
22259,12,1309
22271,12,83
22281,12,65
22289,12,187
22299,12,104
22309,12,156
22319,12,256
22329,12,102
22331,12,520
22341,12,1325
22349,12,2498
22351,12,453
22359,12,1471
22361,12,399
22369,12,512
22391,12,585
22399,12,295
22401,12,219
22409,12,44
22411,12,648
22419,12,1066
22421,12,11
22429,12,30
22431,12,333
22439,12,225
22441,12,1125
22449,12,1116
22451,12,1046
22459,12,990
22461,12,1016
22469,12,629
22471,12,178
22479,12,140
22481,12,611
22489,12,285
22491,12,1438
22499,12,2122
22501,12,523
22509,12,434
22511,12,1641
22519,12,1943
22521,12,5166
22529,12,9726
22531,12,377
22539,12,354
22541,12,257
22549,12,141
22551,12,65
22559,12,37
22569,12,26
22591,12,1369
22599,12,3195
22609,12,36
23011,12,246
23019,12,239
23021,12,47
23029,12,40
23031,12,127
23039,12,8
23041,12,359
23049,12,877
23051,12,154
23059,12,216
23061,12,197
23069,12,401
23071,12,237
23079,12,203
23081,12,28
23089,12,90
23091,12,56
23099,12,89
23101,12,159
23109,12,275
23111,12,37
23119,12,41
23121,12,50
23129,12,68
23131,12,94
23139,12,120
23141,12,60
23149,12,169
23151,12,71
23159,12,243
23161,12,83
23169,12,128
23171,12,36
23179,12,43
23181,12,207
23189,12,234
23191,12,108
23199,12,233
23201,12,83
23209,12,121
23211,12,121
23219,12,240
23221,12,241
23229,12,89
23231,12,339
23239,12,233
23241,12,32
23249,12,33
23251,12,58
23259,12,40
23261,12,110
23269,12,292
23279,12,37
23281,12,75
23291,12,38
23301,12,261
23311,12,102
23321,12,39
23331,12,265
23341,12,119
23349,12,28
23351,12,66
23359,12,70
23361,12,97
23369,12,79
23371,12,1175
23379,12,73
23389,12,125
23399,12,136
23409,12,110
23419,12,61
23429,12,123
23441,12,143
23449,12,74
23451,12,59
23461,12,84
23469,12,92
23471,12,43
23479,12,76
23481,12,43
