node_id,name,jurisdiction,jurisdiction_description,country_codes,countries,incorporation_date,inactivation_date,struck_off_date,closed_date,ibcRUC,status,company_type,service_provider,sourceID,valid_until,note
82009043,Karakoram (Bermuda) Ltd.,BM,Bermuda,BMU,Bermuda,11-JUN-2009,,,07-SEP-2011,43289,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009008,KADING INTERNATIONAL HOLDINGS LIMITED,BM,Bermuda,BMU;SGP,Bermuda;Singapore,09-JAN-2009,,,12-SEP-2010,42819,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009013,BOCA Leasing (Bermuda) Limited,BM,Bermuda,BMU,Bermuda,22-JAN-2009,,,,42871,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008898,Global Distressed Alpha Capital I Limited,BM,Bermuda,BMU;SGP,Bermuda;Singapore,06-DEC-2007,,,17-JAN-2008,41172,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009138,Sahar Minerals Ltd,BM,Bermuda,BMU;SGP,Bermuda;Singapore,06-MAY-2009,,,,43184,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009122,LLREP3 Bermuda Ltd.,BM,Bermuda,BMU,Bermuda,16-NOV-2009,,,,43713,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009059,CAM Fund Platform Ltd.,BM,Bermuda,BMU,Bermuda,19-FEB-2009,,,18-MAR-2009,42954,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009082,CAM Master Investment Company Ltd.,BM,Bermuda,BMU,Bermuda,26-FEB-2009,,,17-APR-2009,42979,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008657,IMC SHIPYARD HOLDINGS (CHINA) LTD,BM,Bermuda,BMU;SGP,Bermuda;Singapore,11-JUN-2008,,,,42001,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008709,GR Ltd.,BM,Bermuda,BMU,Bermuda,10-JUL-2008,,,,42139,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008783,Atlantica Tender Drilling Ltd.,BM,Bermuda,BMU;CYP,Bermuda;Cyprus,03-SEP-2008,,,,42347,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008796,Altus Holdings Limited,BM,Bermuda,BMU,Bermuda,25-AUG-2008,,,16-AUG-2010,42309,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82010103,Royal Chemie International Limited,BM,Bermuda,BMU,Bermuda,05-AUG-2010,,,,44470,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009935,Fincorp Americas Limited,BM,Bermuda,BMU;GBR,Bermuda;United Kingdom,13-APR-2010,,,18-DEC-2013,44172,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82010226,NRG International Ltd.,BM,Bermuda,,,06-JUN-1979,,,02-DEC-1997,EC 07174,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009849,"FirstCarbon Solutions, Ltd.",BM,Bermuda,BMU;PHL,Bermuda;Philippines,19-FEB-2010,,,,44003,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009798,China Kangda Food Company Limited,BM,Bermuda,BMU;CHN;HKG,Bermuda;China;Hong Kong,28-APR-2006,,,,38299,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009766,Keppel REIT (Bermuda) Limited,BM,Bermuda,BMU,Bermuda,26-JAN-2010,,,,43937,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009354,Wilmar China (Bermuda) Limited,BM,Bermuda,BMU;SGP,Bermuda;Singapore,27-JUL-2009,,,,43430,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009528,China Green Technology Limited,BM,Bermuda,BMU,Bermuda,20-NOV-2009,,,17-MAY-2011,43742,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009275,Ingersoll-Rand Company Limited,BM,Bermuda,BMU;USA,Bermuda;United States,08-AUG-2001,,,,EC30862,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009333,Global Distressed Alpha Fund Management Limited,BM,Bermuda,BMU,Bermuda,06-JUL-2009,,,,43352,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82009356,WCL Holdings Limited,BM,Bermuda,BMU;SGP,Bermuda;Singapore,15-JUL-2009,,,,43379,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007887,Superstar Aquarius Services Limited,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,09-MAY-2007,,,,EC 40028,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
