id,driverRef,season,roundId,raceName,lap,time,position
4537,ocon,2017,2,Chinese Grand Prix,20,99.437,11
4538,hulkenberg,2017,2,Chinese Grand Prix,20,99.904,12
4539,massa,2017,2,Chinese Grand Prix,20,100.307,13
4540,jolyon_palmer,2017,2,Chinese Grand Prix,20,100.647,14
4541,grosjean,2017,2,Chinese Grand Prix,20,100.823,15
4542,ericsson,2017,2,Chinese Grand Prix,20,100.243,16
4543,hamilton,2017,2,Chinese Grand Prix,21,98.485,1
4544,max_verstappen,2017,2,Chinese Grand Prix,21,98.598,2
4545,ricciardo,2017,2,Chinese Grand Prix,21,98.358,3
4546,vettel,2017,2,Chinese Grand Prix,21,98.362,4
4547,raikkonen,2017,2,Chinese Grand Prix,21,98.384,5
4548,sainz,2017,2,Chinese Grand Prix,21,99.232,6
4549,alonso,2017,2,Chinese Grand Prix,21,100.224,7
4550,bottas,2017,2,Chinese Grand Prix,21,98.26,8
4551,kevin_magnussen,2017,2,Chinese Grand Prix,21,99.986,9
4552,ocon,2017,2,Chinese Grand Prix,21,99.173,10
4553,perez,2017,2,Chinese Grand Prix,21,119.409,11
4554,hulkenberg,2017,2,Chinese Grand Prix,21,100.01,12
4555,massa,2017,2,Chinese Grand Prix,21,100.02,13
4556,jolyon_palmer,2017,2,Chinese Grand Prix,21,100.608,14
4557,grosjean,2017,2,Chinese Grand Prix,21,100.822,15
4558,ericsson,2017,2,Chinese Grand Prix,21,100.248,16
4559,hamilton,2017,2,Chinese Grand Prix,22,97.56,1
4560,max_verstappen,2017,2,Chinese Grand Prix,22,98.781,2
4561,vettel,2017,2,Chinese Grand Prix,22,98.161,3
4562,ricciardo,2017,2,Chinese Grand Prix,22,99.597,4
4563,raikkonen,2017,2,Chinese Grand Prix,22,98.86,5
4564,sainz,2017,2,Chinese Grand Prix,22,99.292,6
4565,alonso,2017,2,Chinese Grand Prix,22,99.803,7
4566,bottas,2017,2,Chinese Grand Prix,22,98.317,8
4567,kevin_magnussen,2017,2,Chinese Grand Prix,22,99.75,9
4568,perez,2017,2,Chinese Grand Prix,22,98.928,10
4569,ocon,2017,2,Chinese Grand Prix,22,100.404,11
4570,hulkenberg,2017,2,Chinese Grand Prix,22,99.98,12
4571,massa,2017,2,Chinese Grand Prix,22,99.738,13
4572,jolyon_palmer,2017,2,Chinese Grand Prix,22,100.779,14
4573,grosjean,2017,2,Chinese Grand Prix,22,100.701,15
4574,ericsson,2017,2,Chinese Grand Prix,22,99.813,16
4575,hamilton,2017,2,Chinese Grand Prix,23,97.644,1
4576,max_verstappen,2017,2,Chinese Grand Prix,23,98.525,2
4577,vettel,2017,2,Chinese Grand Prix,23,97.505,3
4578,ricciardo,2017,2,Chinese Grand Prix,23,98.888,4
4579,raikkonen,2017,2,Chinese Grand Prix,23,98.78,5
4580,sainz,2017,2,Chinese Grand Prix,23,99.391,6
4581,alonso,2017,2,Chinese Grand Prix,23,99.8,7
4582,bottas,2017,2,Chinese Grand Prix,23,98.473,8
4583,kevin_magnussen,2017,2,Chinese Grand Prix,23,99.731,9
4584,perez,2017,2,Chinese Grand Prix,23,98.644,10
4585,ocon,2017,2,Chinese Grand Prix,23,99.566,11
4586,hulkenberg,2017,2,Chinese Grand Prix,23,99.7,12
4587,massa,2017,2,Chinese Grand Prix,23,99.513,13
4588,jolyon_palmer,2017,2,Chinese Grand Prix,23,100.801,14
4589,grosjean,2017,2,Chinese Grand Prix,23,100.452,15
4590,ericsson,2017,2,Chinese Grand Prix,23,99.965,16
4591,hamilton,2017,2,Chinese Grand Prix,24,97.785,1
4592,max_verstappen,2017,2,Chinese Grand Prix,24,98.711,2
4593,vettel,2017,2,Chinese Grand Prix,24,97.811,3
4594,ricciardo,2017,2,Chinese Grand Prix,24,98.797,4
