country,datetime,value,date
China,2006-01-01,0,Jan 2006
China,2007-01-01,0,Jan 2007
China,2008-01-01,0,Jan 2008
China,2009-01-01,1,Jan 2009
China,2010-01-01,1,Jan 2010
China,2011-01-01,1,Jan 2011
China,2011-07-01,1,Jul 2011
China,2012-01-01,1,Jan 2012
China,2012-07-01,1,Jul 2012
China,2013-01-01,1,Jan 2013
China,2014-01-01,1,Jan 2014
China,2015-01-01,1,Jan 2015
China,2016-01-01,1,Jan 2016
China,2016-07-01,1,Jul 2016
China,2017-01-01,1,Jan 2017
China,2017-12-01,1,Dec 2017
China,2018-06-01,1,Jun 2018
China,2018-12-01,1,Dec 2018
China,2019-06-01,1,Jun 2019
Colombia,1979-01-01,0,Jan 1979
Colombia,1984-01-01,0,Jan 1984
Colombia,1989-01-01,0,Jan 1989
Colombia,1990-01-01,0,Jan 1990
Colombia,1991-01-01,0,Jan 1991
Colombia,1992-01-01,0,Jan 1992
Colombia,1994-01-01,0,Jan 1994
Colombia,1995-01-01,0,Jan 1995
Colombia,1999-01-01,0,Jan 1999
Colombia,2000-01-01,0,Jan 2000
Colombia,2001-01-01,0,Jan 2001
Colombia,2002-01-01,0,Jan 2002
Colombia,2003-01-01,0,Jan 2003
Colombia,2004-01-01,0,Jan 2004
Colombia,2005-01-01,0,Jan 2005
Colombia,2006-01-01,0,Jan 2006
Colombia,2007-01-01,0,Jan 2007
Colombia,2008-01-01,1,Jan 2008
Colombia,2009-01-01,1,Jan 2009
Colombia,2010-01-01,1,Jan 2010
Colombia,2011-01-01,2,Jan 2011
Colombia,2011-07-01,2,Jul 2011
Colombia,2012-01-01,2,Jan 2012
Colombia,2012-07-01,2,Jul 2012
Colombia,2013-01-01,3,Jan 2013
Colombia,2014-01-01,3,Jan 2014
Colombia,2015-01-01,5,Jan 2015
Colombia,2016-01-01,6,Jan 2016
Colombia,2016-07-01,7,Jul 2016
Colombia,2017-01-01,7,Jan 2017
Colombia,2017-12-01,7,Dec 2017
Colombia,2018-06-01,10,Jun 2018
Colombia,2018-12-01,10,Dec 2018
Colombia,2019-06-01,10,Jun 2019
Costa Rica,1979-01-01,0,Jan 1979
Costa Rica,1984-01-01,0,Jan 1984
Costa Rica,1989-01-01,0,Jan 1989
Costa Rica,1990-01-01,0,Jan 1990
Costa Rica,1991-01-01,0,Jan 1991
Costa Rica,1992-01-01,0,Jan 1992
Costa Rica,1994-01-01,0,Jan 1994
Costa Rica,1995-01-01,0,Jan 1995
Costa Rica,1999-01-01,0,Jan 1999
Costa Rica,2000-01-01,0,Jan 2000
Costa Rica,2001-01-01,0,Jan 2001
Costa Rica,2002-01-01,0,Jan 2002
Costa Rica,2003-01-01,0,Jan 2003
Costa Rica,2004-01-01,0,Jan 2004
Costa Rica,2005-01-01,0,Jan 2005
Costa Rica,2006-01-01,0,Jan 2006
Costa Rica,2007-01-01,0,Jan 2007
Costa Rica,2008-01-01,0,Jan 2008
Costa Rica,2009-01-01,0,Jan 2009
Costa Rica,2010-01-01,0,Jan 2010
Costa Rica,2011-01-01,0,Jan 2011
Costa Rica,2011-07-01,0,Jul 2011
Costa Rica,2012-01-01,1,Jan 2012
Costa Rica,2012-07-01,1,Jul 2012
Costa Rica,2013-01-01,1,Jan 2013
Costa Rica,2014-01-01,1,Jan 2014
Costa Rica,2015-01-01,1,Jan 2015
Costa Rica,2016-01-01,1,Jan 2016
Costa Rica,2016-07-01,1,Jul 2016
Costa Rica,2017-01-01,1,Jan 2017
Costa Rica,2017-12-01,1,Dec 2017
Costa Rica,2018-06-01,2,Jun 2018
Costa Rica,2018-12-01,2,Dec 2018
Costa Rica,2019-06-01,2,Jun 2019
Croatia,1979-01-01,0,Jan 1979
Croatia,1984-01-01,0,Jan 1984
Croatia,1989-01-01,0,Jan 1989
Croatia,1990-01-01,0,Jan 1990
Croatia,1991-01-01,0,Jan 1991
Croatia,1992-01-01,0,Jan 1992
Croatia,1994-01-01,0,Jan 1994
Croatia,1995-01-01,0,Jan 1995
Croatia,1999-01-01,0,Jan 1999
Croatia,2000-01-01,0,Jan 2000
Croatia,2001-01-01,0,Jan 2001
Croatia,2002-01-01,0,Jan 2002
Croatia,2003-01-01,0,Jan 2003
Croatia,2004-01-01,0,Jan 2004
Croatia,2005-01-01,0,Jan 2005
Croatia,2006-01-01,1,Jan 2006
Croatia,2007-01-01,1,Jan 2007
Croatia,2008-01-01,1,Jan 2008
Croatia,2009-01-01,1,Jan 2009
Croatia,2010-01-01,1,Jan 2010
Croatia,2011-01-01,1,Jan 2011
Croatia,2011-07-01,1,Jul 2011
Croatia,2012-01-01,1,Jan 2012
Croatia,2012-07-01,1,Jul 2012
Croatia,2013-01-01,1,Jan 2013
Croatia,2014-01-01,1,Jan 2014
Croatia,2015-01-01,1,Jan 2015
Croatia,2016-01-01,1,Jan 2016
Croatia,2016-07-01,1,Jul 2016
Croatia,2017-01-01,1,Jan 2017
Croatia,2017-12-01,1,Dec 2017
Croatia,2018-06-01,1,Jun 2018
Croatia,2018-12-01,1,Dec 2018
Croatia,2019-06-01,1,Jun 2019
Cuba,1979-01-01,0,Jan 1979
Cuba,1984-01-01,0,Jan 1984
Cuba,1989-01-01,0,Jan 1989
Cuba,1990-01-01,0,Jan 1990
Cuba,1991-01-01,0,Jan 1991
Cuba,1992-01-01,0,Jan 1992
Cuba,1994-01-01,0,Jan 1994
Cuba,1995-01-01,0,Jan 1995
Cuba,1999-01-01,0,Jan 1999
Cuba,2000-01-01,0,Jan 2000
Cuba,2001-01-01,0,Jan 2001
Cuba,2002-01-01,0,Jan 2002
Cuba,2003-01-01,0,Jan 2003
Cuba,2004-01-01,0,Jan 2004
Cuba,2005-01-01,0,Jan 2005
Cuba,2006-01-01,0,Jan 2006
Cuba,2007-01-01,0,Jan 2007
Cuba,2008-01-01,0,Jan 2008
Cuba,2009-01-01,1,Jan 2009
